t, ref_R, ref_th, Rv, thv
0.008700, 0.000000, 0.000000, 0.000646, 0.000419
0.008700, 0.000000, 0.000000, 0.000632, 0.000397
0.008750, 0.000000, 0.000000, 0.000632, 0.000397
0.008750, 0.000000, 0.000000, 0.000632, 0.000397
0.008800, 0.000000, 0.000000, 0.000632, 0.000397
0.008800, 0.000000, 0.000000, 0.000619, 0.000376
0.008850, 0.000000, 0.000000, 0.000619, 0.000376
0.008850, 0.000000, 0.000000, 0.000619, 0.000376
0.008900, 0.000000, 0.000000, 0.000619, 0.000376
0.008900, 0.000000, 0.000000, 0.000606, 0.000354
0.008950, 0.000000, 0.000000, 0.000606, 0.000354
0.008950, 0.000000, 0.000000, 0.000606, 0.000354
0.009000, 0.000000, 0.000000, 0.000606, 0.000354
0.009000, 0.000000, 0.000000, 0.000593, 0.000334
0.009050, 0.000000, 0.000000, 0.000593, 0.000334
0.009050, 0.000000, 0.000000, 0.000593, 0.000334
0.009100, 0.000000, 0.000000, 0.000593, 0.000334
0.009100, 0.000000, 0.000000, 0.000581, 0.000313
0.009150, 0.000000, 0.000000, 0.000581, 0.000313
0.009150, 0.000000, 0.000000, 0.000581, 0.000313
0.009200, 0.000000, 0.000000, 0.000581, 0.000313
0.009200, 0.000000, 0.000000, 0.000570, 0.000293
0.009250, 0.000000, 0.000000, 0.000570, 0.000293
0.009250, 0.000000, 0.000000, 0.000570, 0.000293
0.009300, 0.000000, 0.000000, 0.000570, 0.000293
0.009300, 0.000000, 0.000000, 0.000558, 0.000274
0.009350, 0.000000, 0.000000, 0.000558, 0.000274
0.009350, 0.000000, 0.000000, 0.000558, 0.000274
0.009400, 0.000000, 0.000000, 0.000558, 0.000274
0.009400, 0.000000, 0.000000, 0.000547, 0.000255
0.009450, 0.000000, 0.000000, 0.000547, 0.000255
0.009450, 0.000000, 0.000000, 0.000547, 0.000255
0.009500, 0.000000, 0.000000, 0.000547, 0.000255
0.009500, 0.000000, 0.000000, 0.000537, 0.000237
